"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\products\phimke-remake\src\features\watchs\components\Player\Player.module.scss", "SCSS", 0, 0, 0, 0, 226, 0, 0, 18, 244
"c:\products\phimke-remake\src\features\watchs\components\Player\index.tsx", "TypeScript React", 0, 0, 0, 61, 0, 0, 0, 6, 67
"c:\products\phimke-remake\src\features\watchs\components\Similars\Similars.module.scss", "SCSS", 0, 0, 0, 0, 54, 0, 0, 5, 59
"c:\products\phimke-remake\src\features\watchs\components\Similars\index.tsx", "TypeScript React", 0, 0, 0, 48, 0, 0, 0, 6, 54
"c:\products\phimke-remake\src\features\watchs\index.tsx", "TypeScript React", 0, 0, 0, 69, 0, 0, 0, 6, 75
"c:\products\phimke-remake\src\features\watchs\watchsSaga.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\products\phimke-remake\src\features\watchs\watchsSlice.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\products\phimke-remake\src\hooks\useOnClickOutside.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\products\phimke-remake\src\hooks\useResize.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\products\phimke-remake\src\hooks\useScroll.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\products\phimke-remake\src\index.tsx", "TypeScript React", 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\products\phimke-remake\src\models\comment.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\products\phimke-remake\src\models\common.ts", "TypeScript", 0, 173, 0, 0, 0, 0, 0, 21, 194
"c:\products\phimke-remake\src\models\loklok.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 0, 10, 139
"c:\products\phimke-remake\src\models\search.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 10, 91
"c:\products\phimke-remake\src\models\user.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\products\phimke-remake\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\products\phimke-remake\src\serviceWorker.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 31, 14, 147
"c:\products\phimke-remake\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\products\phimke-remake\src\styles\_animation.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\products\phimke-remake\src\styles\_index.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\products\phimke-remake\src\styles\_mixin.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\products\phimke-remake\src\styles\_variables.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\products\phimke-remake\src\utils\changeTitleFilter.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\products\phimke-remake\src\utils\convertSecondsToTime.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\products\phimke-remake\src\utils\convertTitle.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\products\phimke-remake\src\utils\formatTime.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\products\phimke-remake\src\utils\getBackground.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\products\phimke-remake\src\utils\getRunTime.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\products\phimke-remake\src\utils\history.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\products\phimke-remake\src\utils\resizeImage.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\products\phimke-remake\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 27, 1480, 123, 2112, 2773, 37, 61, 753, 7366
